Budget,Revenue,Title,Average Vote,release_date,Release Year,Starring Actors Popularity
175000000,497409852,Troy,6.9,2004/5/13,2004,3462.5235
180000000,748806957,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2005/12/7,2005,0
220000000,1519557910,The Avengers,7.4,2012/4/25,2012,3271.135673
200000000,371353001,Terminator Salvation,5.9,2009/5/20,2009,2293.025284
200000000,769653595,2012,5.6,2009/10/10,2009,1053.91274
200000000,325233863,A Christmas Carol,6.6,2009/11/4,2009,4688.48896
225000000,662845518,Man of Steel,6.5,2013/6/12,2013,1534.639144
215000000,752215857,The Amazing Spider-Man,6.5,2012/6/27,2012,539.2931687
200000000,623933331,Iron Man 2,6.6,2010/4/28,2010,1975.6852
200000000,1066969703,Toy Story 3,7.6,2010/6/16,2010,8130.049317
200000000,1025491110,Alice in Wonderland,6.4,2010/3/3,2010,5659.226207
200000000,310669540,Robin Hood,6.2,2010/5/12,2010,3293.841156
140000000,285444603,Lethal Weapon 4,6.3,1998/7/10,1998,2712.73246
140000000,553799566,Armageddon,6.4,1998/7/1,1998,2428.312728
165000000,305875730,The Polar Express,6.4,2004/11/10,2004,6847.670612
209000000,303025485,Battleship,5.5,2012/4/11,2012,12.08136404
180000000,372234864,The Golden Compass,5.8,2007/12/4,2007,1480.527214
185000000,1004558444,The Dark Knight,8.2,2008/7/16,2008,1039.424306
185000000,786636033,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2008/5/21,2008,6757.288383
200000000,559852396,Cars 2,5.8,2011/6/11,2011,2840.478968
200000000,219851172,Green Lantern,5.1,2011/6/16,2011,857.2982107
175000000,173000000,Evan Almighty,5.3,2007/6/9,2007,2113.912775
180000000,521311860,WALL·E,7.8,2008/6/22,2008,223.8488799
195000000,1123746996,Transformers: Dark of the Moon,6.1,2011/6/28,2011,3589.350526
200000000,1108561013,Skyfall,6.9,2012/10/25,2012,2830.887363
135000000,361832400,The World Is Not Enough,6,1999/11/8,1999,2354.300944
210000000,1091405097,Transformers: Age of Extinction,5.8,2014/6/25,2014,3495.435605
155000000,167298192,Alexander,5.6,2004/11/21,2004,2015.246687
115000000,378882411,True Lies,6.8,1994/7/14,1994,3692.008265
150000000,424988211,The Matrix Revolutions,6.4,2003/11/5,2003,1862.487031
150000000,738599701,The Matrix Reloaded,6.7,2003/5/15,2003,1862.487031
150000000,212011111,Master and Commander: The Far Side of the World,6.9,2003/11/14,2003,1370.958891
133000000,300135367,Stuart Little,5.8,1999/12/17,1999,1949.84188
125000000,238207122,Batman & Robin,4.2,1997/6/20,1997,4825.359416
200000000,743559607,Monsters University,7,2013/6/20,2013,2162.47456
200000000,531865000,World War Z,6.7,2013/6/20,2013,6462.616784
200000000,491868548,Oz: The Great and Powerful,5.7,2013/3/7,2013,3102.693966
200000000,1215439994,Iron Man 3,6.8,2013/4/18,2013,4927.532435
140000000,449220945,Pearl Harbor,6.6,2001/5/21,2001,1421.619609
175000000,735099082,Up,7.7,2009/5/13,2009,381.0674566
175000000,381509870,Monsters vs Aliens,6,2009/3/19,2009,1344.828223
175000000,302469017,G.I. Joe: The Rise of Cobra,5.6,2009/8/4,2009,1595.951227
160000000,181674817,Poseidon,5.5,2006/5/12,2006,1209.90887
150000000,919838758,Shrek 2,6.7,2004/5/19,2004,4469.630794
137000000,85131830,Final Fantasy: The Spirits Within,5.9,2001/7/2,2001,670.3597542
195000000,197687603,Jack the Giant Slayer,5.5,2013/2/27,2013,4966.590993
200000000,705717432,The Amazing Spider-Man 2,6.5,2014/4/16,2014,2035.060086
140000000,109578115,Treasure Planet,7.2,2002/11/26,2002,85.58041798
140000000,441818803,Men in Black II,6,2002/7/3,2002,3426.224691
140000000,431971116,Die Another Day,5.8,2002/11/17,2002,3022.570878
139000000,821708551,Spider-Man,6.8,2002/5/1,2002,1322.342907
100000000,520000000,Terminator 2: Judgment Day,7.7,1991/7/1,1991,2528.280151
160000000,798958165,Shrek the Third,6,2007/5/17,2007,5615.092412
185000000,538983207,Brave,6.7,2012/6/21,2012,183.3074525
150000000,374218673,Batman Begins,7.5,2005/6/10,2005,2146.003548
150000000,895921036,Harry Potter and the Goblet of Fire,7.5,2005/11/5,2005,3862.158561
150000000,314432665,Chicken Little,5.6,2005/11/4,2005,1470.924094
150000000,474968763,Charlie and the Chocolate Factory,6.7,2005/7/13,2005,2223.95669
190000000,467365246,Star Trek Into Darkness,7.4,2013/5/5,2013,3609.207752
145000000,25819961,The Alamo,5.8,2004/4/7,2004,1175.94895
140000000,456758981,The Last Samurai,7.3,2003/12/5,2003,6214.740322
140000000,655011224,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,2003/7/9,2003,867.1581951
127500000,354248063,Dinosaur,6.2,2000/5/19,2000,572.0436373
120000000,363258859,A Bug's Life,6.8,1998/11/25,1998,267.8386221
116000000,178127760,Dante's Peak,5.7,1997/2/7,1997,1533.618169
170000000,400062763,TRON: Legacy,6.3,2010/12/10,2010,1446.113822
150000000,397850012,Mission: Impossible III,6.5,2006/5/3,2006,7539.442377
150000000,599045960,Casino Royale,7.3,2006/11/14,2006,295.7174859
137000000,245360480,Hulk,5.3,2003/6/19,2003,494.4995162
125000000,546388105,Mission: Impossible II,5.9,2000/5/24,2000,4856.612478
149000000,64459316,Flushed Away,6,2006/10/22,2006,5197.240468
123000000,345141403,How the Grinch Stole Christmas,6.2,2000/11/17,2000,3210.630405
170000000,185770160,Hugo,7,2011/11/22,2011,1548.579627
165000000,494878759,How to Train Your Dragon,7.5,2010/3/5,2010,1796.920158
165000000,752600867,Shrek Forever After,6,2010/5/16,2010,6307.468672
180000000,407602906,Pacific Rim,6.7,2013/7/11,2013,182.7243759
150000000,585349010,I Am Legend,6.9,2007/12/14,2007,5951.460525
150000000,623722818,Ratatouille,7.5,2007/6/22,2007,532.3927951
150000000,938212738,Harry Potter and the Order of the Phoenix,7.4,2007/6/28,2007,4924.726433
150000000,287594577,Bee Movie,5.7,2007/10/28,2007,2436.793552
